Name,Layer,Subline,World,Type,HQ City,HQ State,HQ Country,Region,Founded,Total Funding ($M),Active Fleet,Real Miles (M),Simulated Miles (M),Spoken With,Exited,Acquired By,L4 Passenger Operator,Op Maturity,About,Known For,Website,Operating Footprint,Leadership,Business Model,Financing Notes,Investors Notes,Deployment Notes,Metrics Notes,Signal,Partner Count,Partners,Salience Score
Bot Auto,AV Driver / Autonomy Software,"First fully humanless commercial truckload, Houston to Dallas",Adjacent: Freight & Trucking,Company,Houston,TX,US,North America,2024,40,,,,,,,,R&D / closed testing,Houston-based autonomous trucking company founded in 2023 by Xiaodi Hou. In April 2026 it completed the first fully humanless over-the-road commercial truckload in US history — a 231-mile Houston-to-Hutchins run with no one in the cab and no remote operator.,,https://bot.auto,United States,"Xiaodi Hou, founder",Autonomous trucking operations / technology,Early-stage private,Undisclosed (~$40M),US trucking corridors under development,"Reports its humanless Houston–Dallas runs cost $1.89/mile against roughly $2.26 for a human-driven truck; 80 employees, 12 tractors, ~$40M raised; overnight driverless Houston–Dallas lane with Ryan Transportation from Spring 2026, insured through an A-rated Marsh program.","First fully humanless commercial truckload, Houston-Dallas (Apr 2026)",0,,7
Coco,AV Driver / Autonomy Software,Goods delivery autonomy,Adjacent: Delivery,Company,Los Angeles,CA,US,North America,2020,,,,,,,,,Commercial-limited,Remote-assisted sidewalk delivery robot operator focused on food and local delivery. It is less autonomous than Starship but commercially relevant in dense local delivery.,,https://cocodelivery.com,United States; Europe expansion reported,"Zach Rash, co-founder and CEO",Robot delivery service fees; merchant / platform partnerships,Private,,Los Angeles and other markets; European partnerships reported,Fleet size and autonomy level need re-verification,Continues as a delivery robotics deployment player,0,,7
comma.ai,AV Driver / Autonomy Software,"L2+/L3 consumer ADAS stacks; AV middleware, dev platforms & tooling",Passenger loop,Company,San Diego,CA,US,North America,2015,,,,,,,,,Commercial-limited,"Aftermarket open-source-ish driver assistance company. It is small but influential because it demonstrates low-cost, data-rich driver assistance outside OEM control.",,https://comma.ai,United States and global enthusiast users,"George Hotz, founder; leadership verify current",Hardware device sales; software community and services,Bootstrapped,Founder-funded,Aftermarket supported vehicles across multiple brands,Community-driven Openpilot installed base; exact active users unknown,Continues as long-tail ADAS and developer ecosystem node,0,,10
Cruise,AV Driver / Autonomy Software,"GM's robotaxi program, since folded into personal-vehicle ADAS",Passenger loop,Company,San Francisco,CA,US,North America,2013,,,,,Yes,Yes,"General Motors (absorbed, 2024)",,Historical,Former GM robotaxi operator. GM ended the standalone robotaxi program in December 2024 and redirected work toward personal-vehicle autonomy / ADAS.,,,"United States, historical",Historical: Marc Whitten; now GM-integrated,Historical robotaxi; now GM internal autonomy and ADAS capability,Subsidiary / historical operating company,GM,Formerly SF and other pilot markets; no active robotaxi operator role,GM spent heavily and shut down the robotaxi business in Dec. 2024,Merged into GM personal-vehicle ADAS group (Feb 2025),0,,4
Cyngn,AV Driver / Autonomy Software,"DriveMod autonomy for tuggers and forklifts, orders tripled YoY",Passenger loop,Company,Menlo Park,CA,US,North America,2013,110,,,,,,,,Production,DriveMod autonomous industrial vehicle software (tuggers/forklifts),,,,Lior Tal (CEO),,Public (NASDAQ: CYN),Public,,,Tripled tugger orders YoY; $100M raise (Sep 2025),0,,6
DeepRoute.ai,AV Driver / Autonomy Software,"Map-free ADAS on 300k+ vehicles, targeting 1.3M by year-end",Passenger loop,Company,Shenzhen,,China,Greater China,2019,700,,,,,,,,Commercial-limited for ADAS; public pilot / historical robotaxi,"Chinese full-stack autonomous driving company increasingly positioned as a map-free ADAS supplier for mass-market Chinese vehicles, with L4 robotaxi roots.",,https://deeproute.ai,China; OEM integrations,"Zhou Guang, founder and CEO",ADAS software licensing; robotaxi R&D; OEM partnerships,"Private; more than $700M raised (Alibaba, Great Wall among backers); weighing a Hong Kong IPO after a confidential filing (2026)","Alibaba, Dongfeng, Great Wall, Fosun","Shenzhen and OEM deployments; GWM, Geely and other reported integrations",$100M Series C from Great Wall Motor reported in 2024; Nvidia Thor cooperation reported,Active and independent — earlier exit rumors never materialized; HK IPO under consideration,0,,12
DiDi Autonomous Driving,AV Driver / Autonomy Software,Robotaxi & passenger L4; Ridehail & demand aggregation,Passenger loop,Company,Shanghai,,China,Greater China,2016,,,,,,,,,Public pilot with safety driver,"Didi's autonomous unit matters because of its parent ridehail demand network and China operating context, though deployment visibility trails Baidu, Pony.ai and WeRide.",,https://didiglobal.com,China,DiDi leadership; autonomous unit leadership varies,Robotaxi operations; autonomy tech; eventual platform integration,Subsidiary / private-backed unit,,China pilot cities including Shanghai / Guangzhou historically,Less publicly visible than Baidu / Pony / WeRide in 2026,Strategic China demand-platform adjacency; needs refreshed deployment verification,2,DiDi | GAC Group / GAC Toyota,5
dSPACE,AV Driver / Autonomy Software,Paderborn validation toolchain that acquired Understand.ai,Passenger loop,Company,Paderborn,,Germany,Europe,1988,,,,,,,,,Commercial-scaled in tooling,"Engineering toolchain supplier for simulation, hardware-in-the-loop and ADAS / AV validation. It matters as an established tool vendor rather than a fleet operator.",,https://dspace.com,Global automotive customers,"Martin Goetzeler, CEO; verify current","Engineering software, hardware-in-the-loop, validation systems and services",Private company,dSPACE Group,Global OEM and Tier-1 customers,"Acquired Understand.ai, strengthening data annotation / perception validation role",AURELION sensor sim + cloud expansion; CES 2026 SDV demos,0,,12
Embark Trucks,AV Driver / Autonomy Software,Early L4 trucking SPAC whose assets went to Applied Intuition,Passenger loop,Company,San Francisco,CA,US,North America,2016,,,,,,Yes,"Applied Intuition (assets, 2023)",,Historical,"Early L4 trucking SPAC; shut down 2023, assets to Applied Intuition",,,,N/A (defunct),,N/A,Northern Genesis (SPAC),,,Shut down 2023; assets sold ~$71M to Applied Intuition,0,,1
Foretellix,AV Driver / Autonomy Software,"Simulation & synthetic data; Testing, validation & safety assurance",Passenger loop,Company,Tel Aviv area,,Israel,Middle East & Africa,2018,135,,,,,,,,Commercial-scaled in tooling,Safety-driven verification and validation platform for automated driving. It is valuable because scenario-based validation is becoming a gating layer for AV deployment.,,https://foretellix.com,"US, Europe, China, Japan through partners","Ziv Binyamini, co-founder and CEO","Software licenses for verification, validation and scenario generation",Private / growth-stage,"Toyota Woven Capital, Temasek, Volvo, NVIDIA",Automotive OEM and AV developer customer base; partner ecosystem includes NVIDIA and Geely,Reuters reported a strategic partnership with Geely in 2024 to integrate Foretellix safety tools into development and validation workflows,One of the best-positioned independent scenario-based V&V platforms,1,NVIDIA DRIVE Sim / Omniverse / Cosmos,12
Gatik,AV Driver / Autonomy Software,Autonomous trucking L4; Goods delivery autonomy,Adjacent: Freight & Trucking,Company,Mountain View,CA,US,North America,2017,329,10,,,,,,,Commercial-limited,Middle-mile autonomous box-truck company focused on fixed B2B retail and logistics routes. It is more commercially grounded than many robotaxi models because routes are repeatable and customer-specific.,Pioneered driverless middle-mile box-truck delivery for major retailers.,https://gatik.ai,United States; Canada,"Gautam Narang, co-founder and CEO",Autonomous middle-mile delivery service contracts,Late-stage private,"Koch Disruptive, Nippon Express, Walmart","Walmart, Kroger, Tyson and other retail / logistics routes historically; US and Canada","First US company operating fully driverless box trucks at commercial scale — 10 revenue trucks (Jan 2026) scaling toward hundreds, with $600M in customer contracts over five years.",First in N. America to scale fully driverless box trucks; $600M contracted (Jan 2026),2,Gatik Commercial Network | Isuzu,10
Ghost Autonomy,AV Driver / Autonomy Software,"OpenAI-backed highway autonomy startup, wound down in 2024",Passenger loop,Company,Mountain View,CA,US,North America,2017,,,,,,Yes,Shut down 2024,,Historical,OpenAI-backed highway-autonomy/ADAS startup; ceased operations 2024,,,,N/A (defunct),,N/A (shut down),OpenAI Startup Fund,,,Shut down worldwide operations (Apr 2024),0,,1
Horizon Robotics,AV Driver / Autonomy Software,Compute / SoC / AI chips; L2+/L3 consumer ADAS stacks,Passenger loop,Company,Beijing,,China,Greater China,2015,2600,,,,,,,,Commercial-scaled,Chinese automotive AI chip and ADAS software supplier. It is important because Chinese OEMs use domestic compute / perception platforms as alternatives to Nvidia and Mobileye.,"China's top automotive AI-chip maker, 10M+ Journey SoCs shipped.",https://horizon.cc,China OEM programs; Volkswagen/Carizon JV exposure,"Kai Yu, founder and CEO","Sells automotive AI processors, toolchains and software to OEMs and Tier-1s.",Public / late-stage depending listing market; verify latest financials,"SoftBank, Baidu (early)","China ADAS volume with BYD, Li Auto, SAIC, GAC and others reported; VW JV Carizon",Strong China smart-driving chip base; exact 2026 vehicle count needs verification,Most important China-native compute rival to NVIDIA and Mobileye in mass-market ADAS,1,Volkswagen Group / CARIAD,14
Huawei IAS/ADS (Qiankun),AV Driver / Autonomy Software,"Qiankun ADS 4 across 22+ partner models, targeting 3M units",Passenger loop,Company,Shenzhen,,China,Greater China,2019,,,,,,,,,Commercial-scaled,Huawei intelligent-driving unit; Qiankun ADS 4 across AITO/Avatr and 22+ partner models,,https://huawei.com,,Jin Yuzhi (IAS BU CEO),,Subsidiary,Huawei Technologies,,,"Targeting 80+ models, ~3M units by end-2026; highway L3 pilots",0,,9
Huawei Intelligent Automotive Solution / Yinwang,AV Driver / Autonomy Software,"HIMA alliance stack behind AITO, Luxeed, Stelato and Maextro",Passenger loop,Company,Shenzhen,,China,Greater China,2019,,,,,,,,,Commercial-scaled,"Huawei supplies ADS / Qiankun intelligent driving, cockpit and automotive compute to Chinese automakers through supplier, Huawei Inside and HIMA models. It is one of China's most important ADAS stack players.",,https://huawei.com,China,Richard Yu closely associated with Huawei automotive business,"ADAS, cockpit and platform supply to automakers; branded alliance sales support",Subsidiary / strategic automotive unit,,"AITO, Luxeed, Stelato, Maextro, SAIC and other partner models in China",ADS 4.x / 5.x upgrades reported in 2025 to 2026; mass-market penetration expanding,Qiankun ADS roadmap continued into 2026,0,,12
Huawei Intelligent Automotive Solutions,AV Driver / Autonomy Software,L2+/L3 consumer ADAS stacks; Compute / SoC / AI chips,Passenger loop,Company,Shenzhen,,China,Greater China,2019,,,,,,,,,Commercial-scaled,"Huawei supplies intelligent driving, cockpit and EV platform technology to Chinese automakers through its ADS and Harmony Intelligent Mobility ecosystem.",,https://huawei.com,China; selective overseas influence through Chinese OEM exports,Yu Chengdong / Huawei smart car leadership,"Sells full-stack intelligent vehicle systems, components and licensing-style solutions to OEMs.",Subsidiary business unit,,"Deep penetration in Chinese premium ADAS through AITO, Changan/Avatr, BAIC/Arcfox and other ecosystem partners",Continues to expand Qiankun/ADS systems with LiDAR-rich sensor suites,"Cannot be ignored in China because it bundles sensors, compute, software and commercial pull",0,,12
Inceptio Technology,AV Driver / Autonomy Software,Factory-installed L4 trucks running China's freight corridors,Adjacent: Freight & Trucking,Company,Shanghai,,China,Greater China,2018,678,,,,,,,,Pilot w/ safety driver,Chinese autonomous trucking company focused on heavy-duty logistics and factory-installed autonomous truck platforms with Chinese OEMs.,,https://inceptio.ai,China,"Julian Ma, founder and CEO",Autonomous driving system licensing; freight operations partnerships,Private / late-stage,Undisclosed Chinese VC/strategic,China highway freight corridors,Large autonomous freight mileage claims have been reported historically; latest needs re-verification,Continues China L4 trucking commercialization path,0,,8
Kiwibot,AV Driver / Autonomy Software,"Campus delivery bots now Robot.com, piloting the R-noid humanoid",Adjacent: Delivery,Company,Miami,FL,US,North America,2017,25,,,,,,,,Commercial-limited,Sidewalk delivery robot company serving campuses and local commerce. It is a relevant long-tail player in the delivery automation ecosystem.,,https://kiwibot.com,United States; Latin America; campuses,"Felipe Chavez, co-founder and CEO",Robot delivery service; campus and merchant partnerships,Series A/B,Undisclosed VC,Campuses and selected urban deployments.,Fleet and delivery totals need re-verification,"Rebranded Robot.com; launched R-noid humanoid, golf-course pilot (early 2026)",0,,10
Kodiak AI,AV Driver / Autonomy Software,"Driverless trucks hauling Permian Basin freight, revenue up 74%",Adjacent: Freight & Trucking,Company,Mountain View,CA,US,North America,2018,618,28,,,,,,,Commercial-limited,"Autonomous trucking company using a Driver-as-a-Service model. It has been strongest in customer-owned and industrial freight deployments, including the Permian Basin.",First autonomous trucking company to go public; driverless operations in Texas.,https://kodiak.ai,United States,"Don Burnette, founder and CEO",Driver-as-a-service; per-mile / per-vehicle autonomy technology,Public via 2025 business combination reported; verify current ticker details,Ares Acquisition Corp II (SPAC),US freight lanes and customer deployments; Permian Basin specialized operations reported,"28 driverless trucks as of Q1 2026, concentrated in Permian Basin operations; public (Nasdaq: KDK) via the 2025 Ares SPAC at a $2.5B valuation.",Dallas–Houston autonomous freight service with Roehl Transport running four round-trips weekly; fully driverless public-highway operations targeted by end of 2026.,0,,12
May Mobility,AV Driver / Autonomy Software,"Robotaxi & passenger L4; AV middleware, dev platforms & tooling",Passenger loop,Company,Ann Arbor,MI,US,North America,2017,383,,,,,,,,Commercial-limited,"Autonomous shuttle and ridehail operator focused on constrained ODDs, transit-style deployments and Toyota Sienna Autono-MaaS platforms.",3.5M+ autonomous rides in city and transit service across the US and Japan.,https://maymobility.com,United States; Japan pilots,"Edwin Olson, co-founder and CEO","Service contracts with cities, campuses and mobility partners; AV technology stack",Late-stage private; Series D reported in 2023 led by NTT,"NTT, Toyota, BMW i Ventures, Uber","Ann Arbor, Peachtree Corners, Sun City, Arlington and Japan demonstrations / deployments",Driver-out commercial deployment reported in Peachtree Corners; Lyft partnership in Atlanta,ECARX platform deal to scale fleet; in NVIDIA/Uber L4 ecosystem (May 2026),4,Lyft | Toyota | Uber | Via,10
Mercedes-Benz Drive Pilot / MB.Drive,AV Driver / Autonomy Software,"Certified Level 3 operation in Germany, Nevada and California",Passenger loop,Company,Stuttgart,,Germany,Europe,1886,,,,,,,,,Commercial-limited for L3; commercial-scaled for lower-level ADAS,"Mercedes is the most important Western OEM reference point for certified Level 3, but 2026 reporting indicates it is shifting emphasis toward broader Level 2++ capability.",First internationally certified Level 3 system sold to consumers.,https://mercedes-benz.com,Germany; US selected states; global roadmap,"Ola Kallenius, CEO",Vehicle sales; software options and subscriptions,Public company,,"Germany, Nevada and California L3 ODD historically; MB.Drive Assist Pro demonstrations in 2026 CLA",2026 reports say L3 rollout paused while L2++ effort grows,Drive Pilot pause reported; MB.Drive Assist Pro demonstrated. Hesai named strategic lidar supplier for L3 programs in Europe and China.,3,HERE Technologies | Mercedes-Benz | Valeo,14
Momenta,AV Driver / Autonomy Software,OEM data flywheel across 680k+ Momenta-equipped vehicles,Passenger loop,Company,Suzhou,,China,Greater China,2016,2151,,,,,,,,Commercial-scaled in ADAS; robotaxi pre-commercial / pilot,Chinese autonomous-driving software supplier combining mass-production ADAS with robotaxi ambitions. Its strategic edge is broad OEM data flywheel rather than a single captive fleet.,"China's leading ADAS software exporter, shipping with Mercedes, SAIC and more.",https://momenta.cn,China; Germany testing planned with partners,"Cao Xudong, founder and CEO",Licenses assisted-driving/autonomy software to OEMs and develops robotaxi technology.,"Public, Hong Kong IPO in July 2026 raising about $751M","GM, Mercedes, Toyota, SAIC, Tencent, Uber, Grab",China OEM ADAS programs and autonomous-driving development; verify latest robotaxi footprint,"680,000+ vehicles equipped with Momenta systems by end-2025; ~$751M raised in the July 2026 Hong Kong IPO at a ~$9B valuation, with about 20% of proceeds earmarked for robotaxi commercialization.","Bridges Chinese ADAS scale, autonomy software and map/localization data flywheels",3,Mercedes-Benz | SAIC Motor | Uber,14
Motional,AV Driver / Autonomy Software,Hyundai-backed robotaxis riding on Uber in Las Vegas,Passenger loop,Company,Boston,MA,US,North America,2020,4923,,,,Yes,,,Yes,Preparing Las Vegas robotaxi relaunch,Hyundai-backed robotaxi company that paused and reset after funding pressure. It remains relevant because Hyundai can factory-integrate vehicles and because Uber distribution is still a route to market.,Hyundai-backed robotaxi operator relaunching driverless passenger service in Las Vegas.,https://motional.com,US; historical Las Vegas activity,"Karl Iagnemma, CEO",Robotaxi operations and potential technology licensing,Subsidiary / JV structure changed; Hyundai-backed after Aptiv reduced exposure,Hyundai Motor Group (majority); Aptiv (~15%),Las Vegas with Uber; other deployments slowed or paused,"IONIQ 5 robotaxis live on Uber in Las Vegas since March 2026 (safety operators aboard, fully driverless targeted late 2026); 130,000+ autonomous rides across prior pilots.",Marked as historical/restructured rather than a leading active Layer G platform.,3,Hyundai Motor Group | Lyft | Uber Eats,5
Nio,AV Driver / Autonomy Software,Banyan 3.3.0 world-model update rolled out to 460k+ vehicles,Passenger loop,Company,Shanghai,,China,Greater China,2014,,,,,,,,,Commercial-scaled in ADAS,"Chinese premium EV maker with NIO Pilot / Navigate on Pilot and in-house compute moves. It is relevant for the ADAS talent, sensor and compute ecosystem rather than L4 robotaxi deployment.",,https://nio.com,China; Europe,"William Li, founder and CEO",Vehicle sales; optional software and services,Public (NYSE/HKEX),"Tencent, CYVN (Abu Dhabi)",China and Europe vehicle fleet,NIO Pilot and later platform upgrades use extensive sensor suites including lidar on some models,Rolled out Banyan 3.3.0 world-model update to 460k+ vehicles (Jan 2026),1,Seyond,14
NVIDIA DRIVE,AV Driver / Autonomy Software,"Compute / SoC / AI chips; Simulation & synthetic data; AV middleware, dev platforms & tooling",Passenger loop,Company,Santa Clara,CA,US,North America,1993,,,,,,,,,Commercial-scaled,"NVIDIA is both compute platform and autonomy software ecosystem provider through DRIVE AGX, DriveOS, Thor, Omniverse and DRIVE Sim. It is a central dependency for AV stacks and developers.",The de facto compute and software substrate for the AV industry.,https://nvidia.com,"Global; strong US, China, Europe robotaxi/OEM footprint","Jensen Huang, founder and CEO","Chips, systems, software platforms and developer ecosystem licensing / sales",Public company,,"Used by robotaxi, trucking and OEM programs including Chinese EV makers and global AV developers",Aurora / Continental production pathway uses NVIDIA DRIVE Thor and DriveOS; Nuro and others use Nvidia stack elements; Pony.ai's next-generation compute is slated for DRIVE Thor.,Continues to be the common compute / software substrate for AV developers,7,Aurora Innovation | Mercedes-Benz | NVIDIA | Nuro | Toyota | Volvo Cars | Zeekr,14
Oxa,AV Driver / Autonomy Software,Industrial fleet autonomy backed by the UK National Wealth Fund,Passenger loop,Company,Oxford,,UK,Europe,2014,328,,,,,,,,Commercial-limited,"Autonomy software for industrial/commercial fleets (ports, airports); ex-Oxbotica",,https://oxa.tech,,Gavin Jackson (CEO),,Series D,"UK National Wealth Fund, BP Ventures, IP Group",,,Raised $103M Series D incl. UK National Wealth Fund (Mar 2026),1,Beep,7
Plus,AV Driver / Autonomy Software,Autonomous trucking L4; L2+/L3 consumer ADAS stacks,Adjacent: Freight & Trucking,Company,Cupertino,CA,US,North America,2016,300,,,,,,,,Commercial-limited / supervised ADAS scaled in some contexts,Autonomous trucking software company that also commercializes supervised automated driving for trucks. It is a pragmatic highway autonomy supplier rather than a pure driver-out fleet operator.,,https://plus.ai,United States; China; Europe,"David Liu, co-founder and CEO",Software licensing to truck OEMs and fleets; autonomous driving stack,Private / late-stage; verify latest financing,"TRATON, Iveco, Guotai Junan",Truck OEM programs and supervised autonomy deployments,Driver-out timeline less visible than Aurora; ADAS / Level 2++ truck automation more near-term,SuperDrive 6.0; Churchill Capital SPAC merger terminated (Apr 2026),1,Iveco Group,12
